ArrayExpress ID	GEO ID	Experiment Type	Evaluation State	Study Type	Curation State	Variables
E-GEOD-21971	GSE21971	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-22530	GSE22530	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-19282	GSE19282	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-22971	GSE22971	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-21859	GSE21859	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-12432	GSE12432	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-21691	GSE21691	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-19099	GSE19099	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-18074	GSE18074	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-2713	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-4053	GSE4053	transcription profiling by array	Yes	Differential	Done	genotype
E-GEOD-4052	GSE4052	transcription profiling by array	Yes	Differential	Done	genotype
E-GEOD-22508	GSE22508	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-22507	GSE22507	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-22500	GSE22500	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-21358	GSE21358	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-3516	GSE3516	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-3513	GSE3513	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-3507	GSE3507	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-15055	GSE15055	transcription profiling by array	Yes	Baseline	Done	age|pregnancy
E-GEOD-15054	GSE15054	transcription profiling by array	Yes	Baseline	Done	age|pregnancy
E-GEOD-9581	GSE9581	transcription profiling by array	Yes	Baseline	Done	anatomical structure|species
E-GEOD-8356	GSE8356	transcription profiling by array	Yes	Baseline	Done	mouse strain
E-GEOD-8355	GSE8355	transcription profiling by array	Yes	Baseline	Done	mouse strain
E-GEOD-13859	GSE13859	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13264	GSE13264	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13208	GSE13208	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-14813	GSE14813	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-17863	GSE17863	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-6672	GSE6672	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-18774	GSE18774	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-18609	GSE18609	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-15835	GSE15835	transcription profiling by array	Yes	Baseline	Done	Not Applicable
E-GEOD-15833	GSE15833	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-22170	GSE22170	transcription profiling by array	Yes	Differential	Done	anatomical structure|genotype
E-GEOD-22130	GSE22130	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-19371	GSE19371	transcription profiling by array	Yes	Baseline	Done	developmental stage
E-GEOD-19342	GSE19342	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-18393	GSE18393	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-16741	GSE16741	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-MEXP-2505	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-21763	GSE21763	RNA-Seq	Yes	Not Curated	Not Done	Not Curated
E-GEOD-3751	GSE3751	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-3748	GSE3748	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-4011	GSE4011	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-2402	GSE2402	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-21897	GSE21897	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-6355	GSE6355	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-3508	GSE3508	transcription profiling by array	Yes	Baseline	Done	anatomical structure
E-GEOD-1875	GSE1875	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-21965	GSE21965	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-21738	GSE21738	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-21389	GSE21389	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-12293	GSE12293	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-19162	GSE19162	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-1954	GSE1954	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-16613	GSE16613	transcription profiling by array	Yes	Baseline	Done	anatomical structure
E-GEOD-21749	GSE21749	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-21523	GSE21523	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-12495	GSE12495	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-8942	GSE8942	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-8763	GSE8763	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-8641	GSE8641	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-8583	GSE8583	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-7855	GSE7855	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13588	GSE13588	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-15228	GSE15228	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-16780	GSE16780	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
