ArrayExpress ID	GEO ID	Experiment Type	Evaluation State	Study Type	Curation State	Variables
E-GEOD-12356	GSE12356	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-10377	GSE10377	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-8831	GSE8831	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-8788	GSE8788	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-8191	GSE8191	transcription profiling by array	Yes	Baseline	Done	pregnancy
E-MEXP-1587	None	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-13244	GSE13244	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-11923	GSE11923	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-11322	GSE11322	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-9202	GSE9202	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
E-GEOD-12712	GSE12712	transcription profiling by array	Yes	Not Curated	Not Done	Not Curated
